State,Total Cases,Active,Discharged,Deaths,Total vaccination doses,Dose 1,Dose 2
Andaman And Nicobar,7541,4,7408,129,308179,214334,93845
Andhra Pradesh,1978350,20593,1944267,13490,23390769,17319963,6070806
Arunachal Pradesh,49668,3032,46399,237,868372,685988,182384
Assam,572546,11719,555470,5357,12089630,9977914,2111716
Bihar,725122,357,715119,9646,26796305,22501851,4294454
Chandigarh,61970,27,61132,811,892796,679894,212902
Chhattisgarh,1002958,1780,987642,13536,12448461,9900079,2548382
Dadra And Nagar Haveli And Daman And Diu,10652,12,10636,4,653551,576133,77418
Delhi,1436623,516,1411042,25065,10559677,7684071,2875606
Goa,171705,992,167556,3157,1370190,1081299,288891
Gujarat,825001,204,814720,10077,35631476,26979294,8652182
Haryana,770042,690,759705,9647,12654504,9866525,2787979
Himachal Pradesh,207344,1727,202084,3533,5502831,4155025,1347806
Jammu And Kashmir,322286,1404,316496,4386,6603777,5175592,1428185
Jharkhand,347336,226,341980,5130,10094104,8159801,1934303
Karnataka,2915317,24354,2854222,36741,32350283,25190326,7159957
Kerala,3513551,178722,3317314,17515,21560622,15231555,6329067
Ladakh,20378,65,20106,207,257551,188226,69325
Lakshadweep,10243,68,10125,50,67491,50772,16719
Madhya Pradesh,791937,158,781265,10514,34238893,28719654,5519239
Maharashtra,6341759,77905,6130137,133717,46376886,34530719,11846167
Manipur,102889,8367,92894,1628,1379355,1146080,233275
Meghalaya,68107,5515,61445,1147,1149142,927352,221790
Mizoram,43530,12869,30500,161,855488,651442,204046
Nagaland,28445,1370,26493,582,785513,629122,156391
Odisha,984731,11501,966928,6302,17714962,13596312,4118650
Puducherry,121421,872,118750,1799,741733,592209,149524
Punjab,599365,473,582580,16312,10057356,7046711,3010645
Rajasthan,953793,233,944606,8954,34620726,26474741,8145985
Sikkim,27652,3250,24050,352,647540,496921,150619
Tamil Nadu,2571383,20185,2516938,34260,24821006,20257346,4563660
Telengana,648388,8674,635895,3819,15377071,11548293,3828778
Tripura,79948,2515,76667,766,3200186,2402133,798053
Uttar Pradesh,1708689,619,1685299,22771,53295533,44974649,8320884
Uttarakhand,342336,513,334456,7367,6424330,4882205,1542125
West Bengal,1532379,10642,1503535,18202,31775426,22747208,9028218
